2025-03-17T11:00:12.830+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T11:00:24.448+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 12 SEGUNDOS.
2025-03-17T11:00:24.448+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T11:01:49.722+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T11:01:49.754+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T11:01:49.770+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T11:01:50.460+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T11:01:50.460+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T11:01:59.832+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T11:01:59.850+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T11:01:59.859+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T11:02:00.156+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 10 SEGUNDOS.
2025-03-17T11:02:00.156+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-10] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T11:02:00.539+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T11:02:00.539+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T11:02:08.747+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 8 SEGUNDOS.
2025-03-17T11:02:08.747+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T11:02:17.740+01:00  INFO 6264 --- [microservice-scrap-consum] [AsyncResolver-bootstrap-executor-%d] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2025-03-17T11:02:33.117+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T11:02:33.145+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T11:02:33.153+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T11:02:33.817+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T11:02:33.818+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T11:02:42.332+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 9 SEGUNDOS.
2025-03-17T11:02:42.332+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-2] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T11:04:05.843+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T11:04:05.861+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T11:04:05.871+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T11:04:06.674+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T11:04:06.675+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T11:04:18.143+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 12 SEGUNDOS.
2025-03-17T11:04:18.143+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T11:07:15.802+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-7] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T11:07:15.819+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-7] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T11:07:15.831+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-7] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T11:07:16.495+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-7] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T11:07:16.495+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-7] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
